,year,name
450,2021,Guillermo E. Ponce‐Campos
451,2021,Vivienne L. Sclater
452,2021,Timothy C. Strickland
453,2021,Lindsey Witthaus
454,2018,Tadhgh Rainey
455,2018,James Occi
456,2018,Richard G. Robbins
457,2018,Andrea Egizi
458,2018,Megan Horst
459,2018,Amy Marion
460,2020,Dawn Thilmany
461,2020,Elizabeth Canales
462,2020,Sarah A. Low
463,2020,Kathryn A. Boys
464,2018,Yusuke Kuwayama
465,2018,Alexandra Thompson
466,2018,Richard Bernknopf
467,2018,Benjamin F. Zaitchik
468,2018,Peter R. Vail
469,2019,Riva C. H. Denny
470,2019,Sandra T. Marquart‐Pyatt
471,2019,Matthew Houser
472,2018,Andrew Crane‐Droesch
473,2020,Jason P. Oliver
474,2020,Curt Gooch
475,2020,Stephanie Lansing
476,2020,Jenna Schueler
477,2020,Jerod J. Hurst
478,2020,Lauren M. Sassoubre
479,2020,Emily Crossette
480,2020,Diana S. Aga
481,2020,Liyin He
482,2020,Troy S. Magney
483,2020,Debsunder Dutta
484,2020,Yi Yin
485,2020,Philipp Köhler
486,2020,Katja Großmann
487,2020,J. Stutz
488,2020,Christian Dold
489,2020,Jerry L. Hatfield
490,2020,Kaiyu Guan
491,2020,Bin Peng
492,2020,Christian Frankenberg
493,2019,Michael J. Dibartolomeis
494,2019,Susan E. Kegley
495,2019,Pierre Mineau
496,2019,Rosemarie Radford
497,2019,Kendra Klein
498,2019,Nigel Key
499,2019,Nicholas Potter
500,2019,C. Alan Rotz
501,2019,Senorpe Asem-Hiablie
502,2019,Sara E Place
503,2019,Greg Thoma
504,2018,Shouan Zhang
505,2018,Nicholas S. Dufault
506,2018,Mathews L. Paret
508,2018,Guodong Liu
509,2018,Qingren Wang
510,2020,Elizabeth A. Dayton
511,2020,Raj K. Shrestha
512,2020,Anthony Fulford
513,2020,Kim Love
514,2020,Steve W. Culman
515,2020,Laura E. Lindsey
516,2018,Gabrielle Roesch‐McNally
517,2018,J. Gordon Arbuckle
518,2018,John Tyndall
519,2023,Yesenia Vélez-Negrón
520,2023,Lorena L. Simbaña-Carrera
521,2023,Casiani M. Soto-Ramos
522,2023,Olivia H. Medina
523,2023,Emily Dinkel
524,2023,Christopher R. Hardy
525,2023,Lydia I. Rivera-Vargas
526,2023,Laura Ramos-Sepúlveda
527,2018,Timothy R. Green
528,2018,Holm Kipka
529,2018,Olaf David
530,2018,Gregory S. McMaster
531,2021,Lindsay Queall
532,2021,Lisa Chase
533,2021,David Conner
534,2021,Travis Reynolds
535,2021,Weiwei Wang
536,2021,Doolarie Singh‐Knights
537,2018,Lisa Chase
538,2018,Mary Lynn Stewart
539,2018,Brian J. Schilling
540,2018,Becky Smith
541,2018,Michelle Walk
542,2020,Prasanth Valayamkunnath
543,2020,Michael Barlage
544,2020,Fei Chen
545,2020,David Gochis
546,2020,Kristie J. Franz
547,2022,Nicole Buckley Biggs
548,2022,Qu Zhou
549,2022,Kaiyu Guan
550,2022,Sheng Wang
551,2022,Chongya Jiang
552,2022,Yizhi Huang
553,2022,Bin Peng
554,2022,Zhangliang Chen
555,2022,Sibo Wang
556,2022,James D. Hipple
557,2022,Dan Sheafer
558,2022,Ziqi Qin
559,2022,Samuel Stroebel
560,2022,Jonathan Coppess
561,2022,Madhu Khanna
562,2022,Yaping Cai
563,2022,Michael A. Wulder
564,2022,David P. Roy
565,2022,Volker C. Radeloff
566,2022,Thomas R. Loveland
567,2022,Martha C. Anderson
568,2022,David M. Johnson
569,2022,Sean P. Healey
570,2022,Zhe Zhu
571,2022,T. A. Scambos
572,2022,Nima Pahlevan
573,2022,Matthew C. Hansen
574,2022,Noel Gorelick
575,2022,Christopher J. Crawford
576,2022,Jeffrey G. Masek
577,2022,Txomin Hermosilla
578,2022,Joanne C. White
579,2022,Alan Belward
580,2022,Crystal Schaaf
581,2022,Curtis E. Woodcock
582,2022,Justin Huntington
583,2022,Leo Lymburner
584,2022,Patrick Hostert
585,2022,Feng Gao
586,2022,Alexei Lyapustin
587,2022,Jean‐François Pekel
588,2022,Peter Strobl
589,2022,Bruce D. Cook
590,2018,Nathan Hendricks
591,2018,Emrah Er
592,2022,Nigel Key
593,2022,Li Lin
594,2022,Liping Di
595,2022,Chen Zhang
596,2022,Liying Guo
597,2022,Yahui Di
598,2022,Hui Li
599,2022,Anna Yang
600,2019,Mohsen Shahhosseini
601,2019,Rafael A. Martinez‐Feria
602,2019,Guiping Hu
603,2019,Sotirios V. Archontoulis
604,2018,Flannery Dolan
605,2018,Tzahi Y. Cath
606,2018,T. S. Hogue
607,2021,Rachel E. Mallinger
608,2021,John J. Ternest
609,2021,Sarah A. Weaver
610,2021,James Roger Weaver
611,2021,Samantha Pryer
612,2018,Amy Guptill
613,2018,David A. Larsen
614,2018,Rick Welsh
615,2018,Erin Kelly
616,2019,Dev Shrestha
617,2019,Brenden D Staab
618,2019,James A. Duffield
619,2018,Mia G. Park
620,2018,Neelendra K. Joshi
621,2018,Edwin G. Rajotte
622,2018,David J. Biddinger
623,2018,John E. Losey
624,2018,Bryan N. Danforth
625,2018,Bijesh Mishra
626,2018,Buddhi Raj Gyawali
627,2018,Krishna P. Paudel
628,2018,Neelam C. Poudyal
629,2018,Marion Simon
630,2018,Siddhartha Dasgupta
631,2018,George F. Antonįous
632,2020,Md Emran Ali
633,2020,Owen Hudson
634,2020,Sumyya Waliullah
635,2020,J. Brock
636,2020,Brian Hayes
637,2020,Jean Williams‐Woodward
638,2020,Jonathan E. Oliver
639,2018,Kyle A. Hoy
640,2018,Irene M. Xiarchos
641,2018,Timothy W. Kelsey
642,2018,Kathryn J. Brasier
643,2018,Leland Glenna
644,2018,Frederick Ayivi
645,2018,Manoj K. Jha
646,2018,Andreea L. Erciulescu
647,2018,Nathan B. Cruze
648,2018,Balgobin Nandram
649,2019,Jessica L. Drewry
650,2019,John Shutske
651,2019,David Trechter
652,2019,Brian D. Luck
653,2019,Lynn Pitman
654,2019,Jenna Narducci
655,2019,Cristina Quintas‐Soriano
656,2019,Antonio Arjona Castro
658,2019,Jodi S. Brandt
659,2020,Jeffrey K. O’Hara
661,2018,Mark Paul
662,2019,Zoë Plakias
663,2019,Iryna Demko
664,2019,Ani L. Katchova
665,2018,Morgan E. Gorris
666,2018,Linh Anh Cat
667,2018,Charles S. Zender
668,2018,Kathleen K. Treseder
669,2018,James T. Randerson
670,2018,Debalin Sarangi
671,2018,Amit J. Jhala
672,2021,Yanhua Xie
673,2021,Holly Gibbs
674,2021,Tyler J. Lark
675,2022,Becca B.R. Jablonski
677,2022,Joleen C. Hadrich
678,2022,Allie Bauman
679,2022,Sarah Campbell
680,2022,Dawn Thilmany
681,2022,Martha Sullins
682,2020,Lindsey Witthaus
683,2020,Jason M. Taylor
684,2020,James R. Rigby
685,2020,Martin A. Locke
686,2020,Steven R. Evett
687,2020,Paul D. Colaizzi
688,2020,Freddie R. Lamm
689,2020,Susan A. O’Shaughnessy
690,2020,Derek M. Heeren
691,2020,Thomas J. Trout
692,2020,William L. Kranz
693,2020,Xiaomao Lin
694,2018,Zhen Yu
695,2018,Chaoqun Lü
696,2018,Peiyu Cao
697,2018,Hanqin Tian
698,2023,Claudia Schmidt
699,2023,Tian Zheng
700,2023,Stephan J. Goetz
701,2023,Chadley R. Hollas
702,2023,Lisa Chase
703,2018,A.N. Hristov
704,2018,E. Kebreab
705,2018,Mutian Niu
706,2018,J. Oh
707,2018,A. Bannink
708,2018,A.R. Bayat
709,2018,T.M. Boland
710,2018,A.F. Brito
711,2018,D. P. Casper
712,2018,L.A. Crompton
713,2018,J. Dijkstra
714,2018,Maguy Eugène
715,2018,P. C. Garnsworthy
716,2018,Md Najmul Haque
717,2018,A.L.F. Hellwing
718,2018,Pekka Huhtanen
719,2018,Michael Kreuzer
720,2018,Björn Kuhla
721,2018,P. Lund
722,2018,Jørgen Steen Madsen
723,2018,Cécile Martin
724,2018,Peter J. Moate
725,2018,Stefan Muetzel
726,2018,Camila Muñoz
727,2018,Nico Peiren
728,2018,J. M. Powell
729,2018,C.K. Reynolds
730,2018,Angela Schwarm
731,2018,Kevin J. Shingfield
732,2018,T. M. Storlien
733,2018,M.R. Weisbjerg
734,2018,David R. Yáñez‐Ruiz
735,2018,Zhongtang Yu
736,2023,Rolando Piña
737,2023,Kelly Lange
738,2023,V.S. Machado
739,2023,Christy L. Bratcher
740,2019,G. B. Senay
741,2019,Matthew Schauer
742,2019,Naga Manohar Velpuri
743,2019,Ramesh K. Singh
744,2019,Stefanie Kagone
745,2019,M. Friedrichs
746,2019,M. E. Litvak
747,2019,Kyle R. Douglas‐Mankin
748,2018,Volkmar Wolters
749,2018,Elena M. Bennett
750,2018,Jon D. Erickson
751,2018,Matthew Hayek
752,2018,Rachael Garrett
753,2021,Maria João Feio
754,2021,Robert M. Hughes
755,2021,Marcos Callisto
756,2021,Susan J. Nichols
757,2021,Oghenekaro Nelson Odume
758,2021,Bernardo R. Quintella
759,2021,Mathias Kuemmerlen
760,2021,Francisca C. Aguiar
761,2021,Salomé F.P. Almeida
762,2021,Perla Alonso-EguíaLis
763,2021,Francis O. Arimoro
764,2021,Fiona Dyer
765,2021,Jon S. Harding
766,2021,Suk-Hwan Jang
767,2021,Philip R. Kaufmann
768,2021,Samhee Lee
769,2021,Jianhua Li
770,2021,Diego Rodrigues Macedo
771,2021,Ana Mendes
772,2021,Norman Mercado‐Silva
773,2021,Wendy A. Monk
774,2021,Keigo Nakamura
775,2021,George G. Ndiritu
776,2021,Ralph Ogden
777,2021,Michael Peat
778,2021,Trefor B. Reynoldson
779,2021,Blanca Ríos-Touma
780,2021,Pedro Segurado
781,2021,Adam G. Yates
782,2019,Daniel Kaffine
783,2019,Justyn K. Huckleberry
784,2019,Matthew D. Potts
785,2020,Deepthi Kolady
786,2020,Evert Van der Sluis
787,2020,Md Mahi Uddin
788,2020,Allen P. Deutz
789,2019,Seungyub Lee
790,2019,Laura McCann
791,2018,Reid Christianson
792,2018,Laura E. Christianson
793,2018,Carol Wong
794,2018,Matthew J. Helmers
795,2018,Gregory F. McIsaac
796,2018,D. J. Mulla
797,2018,Moira McDonald
798,2021,Robert W. Fairlie
799,2021,Frank M. Fossen
800,2018,Ethan D. Schoolman
801,2018,Linda J. Young
802,2018,Michael R. Hyman
803,2018,Barbara R. Rater
804,2022,Kuan‐Ming Huang
805,2022,Zhengfei Guan
806,2022,A. Malek Hammami
807,2022,Marlaina S. Freisthler
808,2022,Christopher Robbins
809,2022,Charles Benbrook
810,2022,Heather A. Young
811,2022,David M. Haas
812,2022,Paul D. Winchester
813,2022,Melissa J. Perry
814,2022,Stefan Sellman
815,2022,Lindsay M. Beck‐Johnson
816,2022,Clayton Hallman
817,2022,Ryan S. Miller
818,2022,Katharine A. Owers Bonner
819,2022,Katie Portacci
820,2022,Colleen T. Webb
821,2022,Tom Lindström
822,2022,Emily Burchfield
823,2022,Britta L. Schumacher
824,2022,Kaitlyn Spangler
825,2022,Andrea Rissing
826,2019,Kaushi S. T. Kanankege
827,2019,Gustavo Machado
828,2019,L. Zhang
829,2019,B. Dokkebakken
830,2019,Val Schumann
831,2019,Susan Wells
832,2019,Andrés Pérez
833,2019,Julio Álvarez
834,2023,Eugene Adjei
835,2023,Wenying Li
836,2023,Lana L. Narine
837,2023,Yaoqi Zhang
838,2023,Kathleen McGinley
839,2023,Lara Murray
840,2023,Guy Robertson
841,2023,Eric M. White
852,2018,Elizabeth Robison Botkins
853,2018,Brian E. Roe
854,2019,Tianfang Xu
855,2019,Jillian M. Deines
856,2019,A. D. Kendall
857,2019,Bruno Basso
858,2019,D. W. Hyndman
859,2018,Mary Clare Ahearn
860,2018,Kathleen Liang
861,2018,Stephan J. Goetz
862,2018,Hyunseok Kim
863,2018,GianCarlo Moschini
864,2019,Jill A. Shaffer
865,2019,Cali L. Roth
866,2019,David Mushet
867,2018,Kristiana Hansen
868,2018,Esther Duke
869,2018,Craig A. Bond
870,2018,Melanie Purcell
871,2018,Ginger B. Paige
872,2018,Martin K. Nielsen
873,2018,Matthew Branan
874,2018,Alyson M. Wiedenheft
875,2018,Rose Digianantonio
876,2018,J.A. Scare
877,2018,Jennifer L. Bellaw
878,2018,Lindsey Garber
879,2018,Christine A. Kopral
880,2018,A.M. Phillippi-Taylor
881,2018,Josie L. Traub‐Dargatz
882,2019,Alison B. Joglekar
883,2019,Ulrike Wood‐Sichra
884,2019,Philip G. Pardey
885,2018,Federico García Suárez
886,2018,Lilyan E. Fulginiti
887,2018,Richard K. Perrin
888,2019,Michael Polson
889,2019,Margiana Petersen-Rockney
890,2019,David M. Johnson
891,2021,Catherine Brinkley
892,2021,Gwyneth M. Manser
893,2021,Sasha Pesci
894,2020,Daniel P. Gillespie
895,2020,Chieri Kubota
896,2020,Sally A. Miller
897,2020,Rose A. Graves
898,2020,Ryan D. Haugo
899,2020,Andrés Holz
900,2020,Max Nielsen‐Pincus
901,2020,Aaron M. Jones
902,2020,Bryce Kellogg
903,2020,Cathy MacDonald
904,2020,Kenneth J. Popper
905,2020,Michael Schindel
906,2019,Brenna Ellison
907,2019,Mary K. Muth
908,2019,Elise H. Golan
917,2018,Carolyn Dimitri
918,2018,Anne Effland
919,2020,Nathan Stacey
920,2020,Karen Hills
921,2020,Georgine Yorgey
922,2018,Elizabeth Cieniewicz
923,2018,Jeremy R. Thompson
924,2018,Heather McLane
925,2018,Keith L. Perry
926,2018,Gerald S. Dangl
927,2018,Quinlan Corbett
928,2018,Timothy E. Martinson
929,2018,Alicia Wise
930,2018,Anna Wallis
931,2018,James J. O’Connell
932,2018,Rick Dunst
933,2018,Kerik D. Cox
934,2018,Marc Fuchs
935,2018,C. M. Steele
936,2018,Julian Reyes
937,2018,Emile Elias
938,2018,Sierra Aney
939,2018,A. Rango
940,2019,Youngjune Kim
941,2019,Jisang Yu
942,2019,Dustin L. Pendell
943,2018,Anders Van Sandt
944,2018,Sarah A. Low
945,2018,Dawn Thilmany
949,2018,David A. Hennessy
950,2018,Hongli Feng
951,2018,Mahdi Al‐Kaisi
952,2018,Yuyu Zhou
953,2018,T. J. Sauer
954,2018,Raymond W. Arritt
955,2021,H. Christopher Peterson
956,2021,Gail Feenstra
957,2021,Marcia Ostrom
958,2021,Keiko Tanaka
959,2021,Christy Anderson Brekken
960,2021,Gwenaël Engelskirchen
965,2018,Gonzalo Rizzo
966,2018,Juan I. Rattalino Edreira
967,2018,Sotirios V. Archontoulis
968,2018,Haishun Yang
969,2018,Patricio Grassini
970,2021,Xueying Yu
971,2021,Dylan B. Millet
972,2021,Kelley C. Wells
973,2021,Daven K. Henze
974,2021,Hansen Cao
975,2021,Timothy J. Griffis
976,2021,E. A. Kort
977,2021,Genevieve Plant
978,2021,M. J. Deventer
979,2021,Randall K. Kolka
980,2021,D. Tyler Roman
981,2021,K. J. Davis
982,2021,Ankur R. Desai
983,2021,Bianca C. Baier
984,2021,Kathryn McKain
985,2021,Alan C. Czarnetzki
986,2021,A. Anthony Bloom
987,2019,Md. Shahinoor Rahman
988,2019,Liping Di
989,2019,Genong Yu
990,2019,Chen Zhang
991,2019,Hossain Mohiuddin
