year,name
2008,"Frederick L. Greene"
2008,"Jonathan D. Prince"
2009,"Rena A. Hallam"
2009,"Soo Hyun Cho"
2010,"Chao Zhou"
2010,"Jamie Clark"
2010,"Jane L. Givens"
2010,"Ralph A. Weisheit"
2010,"Susan E. Hickman"
2011,"Elmer T. Whitler"
2011,"James S. Goodwin"
2011,"Pierre Goovaerts"
2012,"Amanda J. Visek"
2012,"George W. Burruss"
2012,"Jeff Talbert"
2012,"Jessie A. Mandle"
2012,"Matthew Lee Smith"
2012,"Nathan Taback"
2012,"Tamara L. Knox"
2013,"Laura Kruper"
2013,"Linda Niehm"
2013,"M. Norman Oliver"
2013,"Marquita R. Decker"
2013,"Sungat K. Grewal"
2013,"Tom Greene"
2014,"Aaron Spaulding"
2014,"Angela B. Smith"
2014,"Julia Bodson"
2014,"Karen Pater"
2014,"Kristiana J. Dixon"
2014,"Mitch A. Renkow"
2015,"Anthony V. D'Amico"
2015,"Becki Thompson"
2015,"Carlos Balmore Cruz"
2015,"Carmen Byker Shanks"
2015,"Charles C. Branas"
2015,"Danuta I. Dynda"
2015,"Elham Mahmoudi"
2015,"Gabriel R. Karns"
2015,"Grace F. Chao"
2015,"Gretchen G. Kimmick"
2015,"Linda J. Schieb"
2015,"Matthew J. Maurice"
2015,"Michele Casper"
2015,"Rebekah Smith"
2015,"Robert Joseph Taylor"
2015,"Trang VoPham"
2016,"Charlotte E. Joslin"
2016,"Cynthia M. Powell"
2016,"Emma L. Barber"
2016,"George Pomeroy"
2016,"Gordana Derado"
2016,"Ifeoma A. Inneh"
2016,"Kimberly S. Johnson"
2016,"Lacey Arneson McCormack"
2016,"Lauren Hersch Nicholas"
2016,"Mary Bratsch-Hines"
2016,"Sarah Gaillot"
2016,"Thomas Allison"
2016,"Xun Li"
2017,"Abby Albright Bode"
2017,"Abhisesh Silwal"
2017,"Adam Wright"
2017,"Ahmadreza Mohammadi Doostdar"
2017,"Akiko S. Hosler"
2017,"Alberto Garrido"
2017,"Alexander S. Lee"
2017,"Alexandros Maziotis"
2017,"Allan Shi-Chung Cheung"
2017,"Alwin Chong"
2017,"Amber J. Fletcher"
2017,"Amir Ahmed"
2017,"Amy S. Crumbaugh"
2017,"Andreas Colliander"
2017,"Andrés Trujillo-Barrera"
2017,"Angelica Herrera-Venson"
2017,"Ankita Meghani"
